date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:20	30064/30064	---M--	200	added ('OK')	font/woff2	etag:%227570-5eeefb23-b1ee3b8cd9cfa433;;;%22	http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Icons.woff2?v=2.4.0	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Iconsb26c.woff2	(from http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/css/simple-line-icons.css)
11:07:26	54056/54056	---M--	200	added ('OK')	application/x-font-ttf	etag:%22d328-5eeefb23-8699d93e6cef82a7;;;%22	http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Icons.ttf?v=2.4.0	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Iconsb26c.ttf	(from http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/css/simple-line-icons.css)
11:07:28	239045/239045	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a5c5-5eeefb23-406ebc71bf2114b;gz%22	http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Icons.svg?v=2.4.0	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Iconsb26c.svg	(from http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/css/simple-line-icons.css)
11:07:29	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/vendor/owlcarousel/owl.video.play.png	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/owlcarousel/owl.video.play.png	(from http://brom.c-kav.com/preview-demos/vendor/owlcarousel/owl.carousel.min.css)
11:07:30	439580/439580	---M--	200	added ('OK')	application/x-font-ttf	etag:%226b51c-5eeefb23-2a364cc93a63abdd;;;%22	http://brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfont.ttf?v=3.0.39	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfontcc3f.ttf	(from http://brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css)
11:07:32	81332/81332	---M--	200	added ('OK')	application/font-woff	etag:%2213db4-5eeefb23-3135dd2a6dcec409;;;%22	http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Icons.woff?v=2.4.0	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Iconsb26c.woff	(from http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/css/simple-line-icons.css)
11:07:33	44092/44092	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22ac3c-5eeefb23-5d0f21e8a9e95233;;;%22	http://brom.c-kav.com/preview-demos/images/400x500-03.jpg	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/400x500-03.jpg	(from http://brom.c-kav.com/preview-demos/index-07.html)
11:07:34	46927/46927	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22b74f-5eeefb23-852d0f1c697c7eb;;;%22	http://brom.c-kav.com/preview-demos/images/400x400-03.jpg	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/400x400-03.jpg	(from http://brom.c-kav.com/preview-demos/index-07.html)
11:07:34	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/popper.js	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/popper.js	(from http://brom.c-kav.com/preview-demos/vendor/bootstrap/js/bootstrap.min.js)
11:07:35	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/Trident/	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/Trident/index.html	(from http://brom.c-kav.com/preview-demos/vendor/jarallax/jarallax.min.js)
11:07:36	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/Edge/	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/Edge/index.html	(from http://brom.c-kav.com/preview-demos/vendor/jarallax/jarallax.min.js)
11:07:36	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/Version/	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/Version/index.html	(from http://brom.c-kav.com/preview-demos/vendor/swiper/js/swiper.min.js)
11:07:37	103308/103308	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%221938c-5eeefb23-89900d95a27f3698;;;%22	http://brom.c-kav.com/preview-demos/images/grid-portfolio-02.jpg	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/grid-portfolio-02.jpg	(from http://brom.c-kav.com/preview-demos/index-07.html)
11:07:37	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/version/	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/version/index-2.html	(from http://brom.c-kav.com/preview-demos/vendor/swiper/js/swiper.min.js)
11:07:38	3275/3275	---M--	200	added ('OK')	image/png	etag:%22ccb-5eeefb23-395918c94bfa7ef2;;;%22	http://brom.c-kav.com/preview-demos/images/ParticleSmoke.png	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/ParticleSmoke.png	(from http://brom.c-kav.com/preview-demos/vendor/snow3d/snow-effect.js)
11:07:43	74256/74256	UR-M--	200	added ('Partial%20Content')	font/woff2	etag:%2212210-5eeefb23-66444be6189a0e7;;;%22	http://brom.c-kav.com/preview-demos/fonticons/fontawesome/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/fontawesome/webfonts/fa-solid-900.woff2	(from http://brom.c-kav.com/preview-demos/fonticons/fontawesome/css/all.min.css)
11:07:56	186728/186728	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:%222d968-5eeefb23-b8e4f8b5dfb65b71;;;%22	http://brom.c-kav.com/preview-demos/fonticons/fontawesome/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/fontawesome/webfonts/fa-solid-900.eot	(from http://brom.c-kav.com/preview-demos/fonticons/fontawesome/css/all.min.css)
11:08:00	186444/186444	UR-M--	200	added ('Partial%20Content')	application/x-font-ttf	etag:%222d84c-5eeefb23-8ba9e6f53e8fb1cf;;;%22	http://brom.c-kav.com/preview-demos/fonticons/fontawesome/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/fontawesome/webfonts/fa-solid-900.ttf	(from http://brom.c-kav.com/preview-demos/fonticons/fontawesome/css/all.min.css)
11:08:06	459365/459365	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2270265-5eeefb23-908d743ab69076f9;;;%22	http://brom.c-kav.com/preview-demos/images/bg-04.jpg	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/bg-04.jpg	(from http://brom.c-kav.com/preview-demos/index-07.html)
11:09:17	164020/164020	---M-Z	200	added ('OK')	image/svg+xml	etag:%22280b4-5eeefb23-62ebea809dd70829;gz%22	http://brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-stroke.svg?d7yf1v	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-strokebb1d.svg	(from http://brom.c-kav.com/preview-demos/fonticons/pixeden/pe-icon-7-stroke.css)
